field_name,allowed_values,definition,core_or_conditional,annotation_rule
annotation_id,assigned unique ID,Unique annotation record identifier.,core,Use the assigned ANN_R#_### identifier; never reuse an ID.
asset_id,registered BODYFRAME asset ID,Registered asset being annotated.,core,Use one registered asset ID per annotation; do not embed private source filenames.
annotator_id,assigned annotator ID,Identifier for the person recording the annotation.,core,Use the assigned pseudonymous annotator identifier.
taxonomy_version,BF_ANNOT_V1.1,Version of the annotation taxonomy used.,core,Use BF_ANNOT_V1.1 for new annotations; preserve historical versions in locked data.
annotation_round,positive integer,Review round number.,core,Record the annotation round without changing earlier locked rows.
annotation_timestamp,captured date-time or blank,Date and time the annotation was completed.,core,Enter only when captured by the annotation process; otherwise leave blank.
camera_height,low | level | high | unclear,Apparent camera height relative to the subject.,core,Classify from visible perspective cues; use unclear when visible cues do not support a confident label.
camera_pitch,upward | level | downward | unclear,Apparent vertical camera angle.,core,"Record upward, level, or downward from visible convergence and viewpoint cues."
framing_type,full_body | three_quarter | half_body | close_up | other | unclear,Extent of the subject included in the frame.,core,"Classify the visible crop, not the intended composition."
body_orientation,front | three_quarter_left | profile_left | back | profile_right | three_quarter_right | unclear,Direction the torso/body faces relative to the camera.,core,Left and right are the subject's anatomical left and right.
head_orientation,front | three_quarter_left | profile_left | back | profile_right | three_quarter_right | unclear | not_visible,Direction the head faces relative to the camera.,core,Use anatomical left/right. Three-quarter means both sides of the face remain meaningfully visible; profile is approximately side-on with little or no far-side facial structure. Do not apply a strict angular threshold; use not_visible when the head cannot be seen.
body_lean,upright | left | right | forward | backward | unclear,Visible lean of the body axis.,core,Describe the observed axis only; do not evaluate posture quality.
stance_type,standing | seated | kneeling | crouching | lying | other | unclear,Primary visible support posture.,core,Choose the closest visible stance; standing may remain inferable under some crops when visible body configuration is sufficient.
weight_distribution,balanced | left_dominant | right_dominant | forward | backward | unclear | not_applicable,Visible distribution of support or load.,core,Requires visible lower-body or support evidence. Without it use unclear; anatomical left/right applies.
shoulder_level,level | left_higher | right_higher | unclear | not_visible,Relative visible height of the shoulders.,core,Compare the subject's anatomical shoulders; use not_visible when comparison is impossible because they cannot be seen.
head_visibility,fully_visible | partially_visible | not_visible | unclear,How much of the head is visible.,core,"Judge only visibility in the image, including crop and occlusion."
torso_visibility,fully_visible | partially_visible | not_visible | unclear,How much of the torso is visible.,core,Fully visible means the complete taxonomy-required torso region is represented in-frame. Partially visible means some torso is visible but crop or meaningful occlusion removes part of the torso region.
waist_hip_visibility,fully_visible | partially_visible | not_visible | unclear,How much of the waist and hip region is visible.,core,"Judge only visibility in the image, including crop and occlusion."
leg_visibility,fully_visible | partially_visible | not_visible | unclear | not_applicable,How much of the legs is visible.,core,Use not_applicable only when legs genuinely do not apply to the depicted subject presentation.
foot_visibility,fully_visible | partially_visible | not_visible | unclear | not_applicable,How much of the feet is visible.,core,Judge only visibility; use not_applicable only when the field genuinely does not apply.
occlusion_level,none | minor | moderate | severe | unclear,Overall degree to which relevant body regions are obscured.,core,Assess visible obstruction or cropping without inferring hidden content.
lighting_direction,front | left | right | overhead | back | diffuse | mixed | unclear,Dominant apparent direction of illumination.,core,Use diffuse when no directional source is visible and mixed when multiple directions are evident.
clothing_fit,close_fitting | regular | loose | mixed | unclear | not_visible,Visible relationship of clothing to the body outline.,core,"Describe visible fit only; do not infer size, comfort, or intent."
torso_rotation,neutral | left | right | unclear | not_visible | not_applicable,Visible rotation of the torso relative to a neutral orientation.,conditional,"Annotate when the torso is visible enough; otherwise use unclear, not_visible, or not_applicable as defined."
pelvis_rotation,neutral | left | right | unclear | not_visible | not_applicable,Visible rotation of the pelvis relative to a neutral orientation.,conditional,Annotate when the pelvis is visible enough; anatomical left/right applies.
left_knee_state,extended | flexed | unclear | not_visible | not_applicable,Visible state of the subject's anatomical left knee.,conditional,Classify only when applicable and sufficiently visible.
right_knee_state,extended | flexed | unclear | not_visible | not_applicable,Visible state of the subject's anatomical right knee.,conditional,Classify only when applicable and sufficiently visible.
left_foot_orientation,forward | inward | outward | lateral | unclear | not_visible | not_applicable,Direction of the subject's anatomical left foot.,conditional,Classify from visible evidence only; inward/outward are relative to the subject.
right_foot_orientation,forward | inward | outward | lateral | unclear | not_visible | not_applicable,Direction of the subject's anatomical right foot.,conditional,Classify from visible evidence only; inward/outward are relative to the subject.
left_elbow_state,extended | flexed | unclear | not_visible | not_applicable,Visible state of the subject's anatomical left elbow.,conditional,Classify only when applicable and sufficiently visible.
right_elbow_state,extended | flexed | unclear | not_visible | not_applicable,Visible state of the subject's anatomical right elbow.,conditional,Classify only when applicable and sufficiently visible.
occlusion_source,none | self_occlusion | clothing | object | crop | another_person | mixed | unclear | not_applicable,Primary visible cause of occlusion.,conditional,Use none when no occlusion is present and not_applicable only when the field genuinely does not apply.
annotation_confidence,1 | 2 | 3 | 4,Annotator confidence in the completed record.,core,"Use 1 (low), 2, 3, or 4 (high) after reviewing all fields."
needs_review,yes | no,Flag indicating whether a second review is requested.,core,"Choose yes when uncertainty, ambiguity, or inconsistency warrants review; otherwise choose no."
notes,free text or blank,Optional factual annotation notes.,conditional,Record concise visible evidence or ambiguity; do not add appearance evaluation or inferred intent.
